tile,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282000_1551900.las,100.000000000000000,0.609903322756290,0.045453444852673,0.495653778314590,0.700690925121307
tile_282100_1550000.las,100.000000000000000,0.565942659676075,0.061045356273140,0.400673538446426,0.650260746479034
tile_282100_1550100.las,100.000000000000000,0.489729748070240,0.025130945647041,0.448036402463913,0.574967861175537
tile_282100_1550200.las,100.000000000000000,0.443768614828587,0.051876091740626,0.315816909074783,0.559160053730011
tile_282100_1550300.las,100.000000000000000,0.404092125892639,0.051847407397760,0.297552198171616,0.516280531883240
tile_282100_1550400.las,100.000000000000000,0.423522884249687,0.040446449120352,0.282503366470337,0.507047653198242
tile_282100_1550500.las,100.000000000000000,0.385650734007359,0.063157364266038,0.281726956367493,0.552623093128204
tile_282100_1550600.las,100.000000000000000,0.430807376801968,0.067275087506709,0.294225603342056,0.556436657905579
tile_282100_1550700.las,100.000000000000000,0.505989667177200,0.058861907128359,0.311185091733932,0.586420416831970
tile_282100_1550800.las,100.000000000000000,0.444229042530060,0.069396301585970,0.333024561405182,0.585526764392853
tile_282100_1550900.las,100.000000000000000,0.609075796604156,0.062268763041606,0.467361658811569,0.734388947486877
tile_282100_1551000.las,100.000000000000000,0.634648372530937,0.048717284840260,0.552357494831085,0.748952746391296
tile_282100_1551100.las,100.000000000000000,0.618560062050819,0.033992328262987,0.558481097221375,0.722969651222229
tile_282100_1551200.las,100.000000000000000,0.632014074921608,0.035330033226461,0.553383767604828,0.691227734088898
tile_282100_1551300.las,100.000000000000000,0.624676312208176,0.029253261063843,0.525749385356903,0.675116777420044
tile_282100_1551400.las,100.000000000000000,0.653486474752426,0.051521665475482,0.498975038528442,0.712938249111176
tile_282100_1551500.las,100.000000000000000,0.721192669868469,0.024368210059363,0.661507964134216,0.768828928470612
tile_282100_1551600.las,100.000000000000000,0.687546826303005,0.084367225872235,0.471918076276779,0.786524832248688
tile_282100_1551700.las,100.000000000000000,0.646041219830513,0.082566708204702,0.423605769872665,0.752928614616394
tile_282100_1551800.las,100.000000000000000,0.619456684589386,0.054132054572590,0.476459711790085,0.703651785850525
tile_282100_1551900.las,100.000000000000000,0.573084385991096,0.041270660771731,0.477873027324677,0.646973073482513
tile_282200_1550000.las,100.000000000000000,0.419498901069164,0.104416514426898,0.266131967306137,0.605981469154358
tile_282200_1550100.las,100.000000000000000,0.456853690147400,0.065777186229530,0.303672730922699,0.574023962020874
tile_282200_1550200.las,100.000000000000000,0.419953531920910,0.056027665984225,0.322819381952286,0.529624700546265
tile_282200_1550300.las,100.000000000000000,0.411899897754192,0.041316297440827,0.315849214792252,0.494112342596054
tile_282200_1550400.las,100.000000000000000,0.453650804460049,0.076050857030858,0.273966997861862,0.606209337711334
tile_282200_1550500.las,100.000000000000000,0.373584585189819,0.065811541273518,0.269772946834564,0.546879470348358
tile_282200_1550600.las,100.000000000000000,0.488359242379665,0.066833760620788,0.304438531398773,0.591942608356476
tile_282200_1550700.las,100.000000000000000,0.485053112208843,0.076195796999805,0.302183896303177,0.601590991020203
tile_282200_1550800.las,100.000000000000000,0.548431725800037,0.049865365150919,0.393135309219360,0.614947557449341
tile_282200_1550900.las,100.000000000000000,0.573808175325394,0.040964269962326,0.472049325704575,0.650546073913574
tile_282200_1551000.las,100.000000000000000,0.637501757144928,0.040929201732493,0.564193308353424,0.725949168205261
tile_282200_1551100.las,100.000000000000000,0.702577468156815,0.044018827191555,0.600136876106262,0.784999430179596
tile_282200_1551200.las,100.000000000000000,0.710548363924027,0.027602111960978,0.661738634109497,0.783387959003448
tile_282200_1551300.las,100.000000000000000,0.712976716160774,0.027598180531769,0.657691299915314,0.776452124118805
tile_282200_1551400.las,100.000000000000000,0.680286298990250,0.058637272363727,0.534043192863464,0.761610448360443
tile_282200_1551500.las,100.000000000000000,0.638879262208939,0.064293804736962,0.452444344758987,0.751363635063171
tile_282200_1551600.las,100.000000000000000,0.586175106763840,0.062105767584508,0.459175586700439,0.705327153205872
tile_282200_1551700.las,100.000000000000000,0.594667804539204,0.066160728530417,0.438598781824112,0.730598449707031
tile_282200_1551800.las,100.000000000000000,0.574676455259323,0.077246023674075,0.419661879539490,0.716648876667023
tile_282200_1551900.las,100.000000000000000,0.616436350345612,0.019087303150473,0.543866574764252,0.654657363891602
tile_282300_1550000.las,100.000000000000000,0.500441171824932,0.053354524414913,0.315548390150070,0.585173785686493
tile_282300_1550100.las,100.000000000000000,0.451927336156368,0.070880858782409,0.300313591957092,0.577475070953369
tile_282300_1550200.las,100.000000000000000,0.470549312829971,0.036787500457868,0.389036893844604,0.570737302303314
tile_282300_1550300.las,100.000000000000000,0.443962568938732,0.038868372996498,0.363525182008743,0.530147731304169
tile_282300_1550400.las,100.000000000000000,0.528990542888641,0.036523606169359,0.457032680511475,0.621869921684265
tile_282300_1550500.las,100.000000000000000,0.520934632420540,0.073321724246211,0.364286512136459,0.661020159721375
tile_282300_1550600.las,100.000000000000000,0.603369994163513,0.075468486160592,0.433372348546982,0.750385701656342
tile_282300_1550700.las,100.000000000000000,0.556212186515331,0.072719219387630,0.427832365036011,0.708779633045197
