tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_282200_1551100.las,24216,78400,0.3089,68876,5703,0.9235,68876,178599,0.3856,1.7682,145369,178599,0.8139
tile_282200_1551200.las,18189,78400,0.232,41000,4352,0.904,41000,123119,0.333,1.9198,106429,123119,0.8644
tile_282200_1551300.las,17268,78400,0.2203,33615,5748,0.854,33615,108263,0.3105,2.0388,86495,108263,0.7989
tile_282200_1551400.las,14691,78400,0.1874,32563,4675,0.8745,32563,175930,0.1851,2.7146,160050,175930,0.9097
tile_282200_1551500.las,10155,78400,0.1295,21112,3313,0.8644,21112,176298,0.1198,3.1599,167563,176298,0.9505
tile_282200_1551600.las,11839,78400,0.151,23572,3579,0.8682,23572,121165,0.1945,2.6395,109299,121165,0.9021
tile_282200_1551700.las,13342,78400,0.1702,26611,3665,0.8789,26611,128821,0.2066,2.5444,117326,128821,0.9108
tile_282200_1551800.las,12035,78400,0.1535,24174,3264,0.881,24174,178448,0.1355,2.9799,170671,178448,0.9564
tile_282200_1551900.las,8718,67200,0.1297,16947,2422,0.875,16947,145877,0.1162,3.1182,139648,145877,0.9573
tile_282300_1550000.las,13549,67200,0.2016,32864,5736,0.8514,32864,144238,0.2278,2.607,115238,144238,0.7989
tile_282300_1550100.las,19164,78400,0.2444,43491,12385,0.7783,43491,124101,0.3504,1.9758,65978,124101,0.5316
tile_282300_1550200.las,21131,78400,0.2695,53318,11726,0.8197,53318,139642,0.3818,1.8842,78604,139642,0.5629
tile_282300_1550300.las,19477,78400,0.2484,52027,7020,0.8811,52027,178312,0.2918,2.1822,140850,178312,0.7899
tile_282300_1550400.las,18675,78400,0.2382,47284,5227,0.9005,47284,165727,0.2853,2.1736,138101,165727,0.8333
tile_282300_1550500.las,20625,78400,0.2631,41899,8271,0.8351,41899,104590,0.4006,1.7747,59873,104590,0.5725
tile_282300_1550600.las,26796,78400,0.3418,72049,8480,0.8947,72049,141848,0.5079,1.3942,84916,141848,0.5986
tile_282300_1550700.las,30274,78400,0.3861,89865,11417,0.8873,89865,175249,0.5128,1.4165,93997,175249,0.5364
tile_282300_1550800.las,22459,78400,0.2865,56779,7420,0.8844,56779,160385,0.354,2.0347,116048,160385,0.7236
tile_282300_1550900.las,17051,78400,0.2175,32778,5934,0.8467,32778,106246,0.3085,2.1637,79737,106246,0.7505
tile_282300_1551000.las,22807,78400,0.2909,59554,5667,0.9131,59554,143697,0.4144,1.6886,109946,143697,0.7651
tile_282300_1551100.las,24577,78400,0.3135,68064,5685,0.9229,68064,181032,0.376,1.7778,146193,181032,0.8076
tile_282300_1551200.las,21623,78400,0.2758,57250,4847,0.9219,57250,153491,0.373,1.7974,127550,153491,0.831
tile_282300_1551300.las,19622,78400,0.2503,36794,6855,0.843,36794,92217,0.399,1.7862,60574,92217,0.6569
tile_282300_1551400.las,11362,78400,0.1449,23706,5081,0.8235,23706,152784,0.1552,3.1593,132528,152784,0.8674
tile_282300_1551500.las,6462,78400,0.0824,12148,2278,0.8421,12148,178644,0.068,3.7342,174070,178644,0.9744
tile_282300_1551600.las,7468,78400,0.0953,14464,2395,0.8579,14464,141655,0.1021,3.2771,136152,141655,0.9612
tile_282300_1551700.las,11620,78400,0.1482,21453,3019,0.8766,21453,107862,0.1989,2.563,99085,107862,0.9186
tile_282300_1551800.las,13053,78400,0.1665,27778,3093,0.8998,27778,153266,0.1812,2.6265,144267,153266,0.9413
tile_282300_1551900.las,8954,67200,0.1332,19545,2022,0.9062,19545,139130,0.1405,2.9077,132569,139130,0.9528
tile_282400_1550000.las,16987,67200,0.2528,46292,8006,0.8526,46292,144454,0.3205,2.2788,96186,144454,0.6659
tile_282400_1550100.las,19296,78400,0.2461,47796,10785,0.8159,47796,136565,0.35,2.1722,77044,136565,0.5642
tile_282400_1550200.las,19771,78400,0.2522,42856,11478,0.7888,42856,113617,0.3772,1.9369,58090,113617,0.5113
tile_282400_1550300.las,17136,78400,0.2186,43928,6216,0.876,43928,175459,0.2504,2.3355,146596,175459,0.8355
tile_282400_1550400.las,21381,78400,0.2727,62837,6661,0.9042,62837,192321,0.3267,2.0156,152590,192321,0.7934
tile_282400_1550500.las,21531,78400,0.2746,55340,7083,0.8865,55340,136385,0.4058,1.7096,95224,136385,0.6982
tile_282400_1550600.las,20185,78400,0.2575,41627,6637,0.8625,41627,108769,0.3827,1.7452,79942,108769,0.735
tile_282400_1550700.las,20737,78400,0.2645,53142,7880,0.8709,53142,172435,0.3082,2.1091,134379,172435,0.7793
tile_282400_1550800.las,17170,78400,0.219,42248,5709,0.881,42248,173556,0.2434,2.5268,143529,173556,0.827
tile_282400_1550900.las,16933,78400,0.216,34979,5026,0.8744,34979,130782,0.2675,2.323,108553,130782,0.83
tile_282400_1551000.las,21421,78400,0.2732,49154,5733,0.8955,49154,121212,0.4055,1.7041,90533,121212,0.7469
tile_282400_1551100.las,24410,78400,0.3114,67549,6190,0.9161,67549,177307,0.381,1.7766,139471,177307,0.7866
tile_282400_1551200.las,19617,78400,0.2502,56735,4869,0.921,56735,175054,0.3241,2.0707,143190,175054,0.818
tile_282400_1551300.las,18641,78400,0.2378,41648,6748,0.8606,41648,109031,0.382,1.9989,71932,109031,0.6597
tile_282400_1551400.las,12865,78400,0.1641,25262,5875,0.8113,25262,131347,0.1923,2.9203,106114,131347,0.8079
tile_282400_1551500.las,11879,78400,0.1515,25765,4315,0.8565,25765,171328,0.1504,3.0162,152891,171328,0.8924
tile_282400_1551600.las,11625,78400,0.1483,26917,2591,0.9122,26917,161210,0.167,2.7323,151484,161210,0.9397
tile_282400_1551700.las,12153,78400,0.155,22997,2599,0.8985,22997,106922,0.2151,2.4359,97490,106922,0.9118
tile_282400_1551800.las,16782,78400,0.2141,40802,4570,0.8993,40802,135360,0.3014,2.1004,112300,135360,0.8296
tile_282400_1551900.las,15454,67200,0.23,39945,5147,0.8859,39945,138136,0.2892,2.2036,111416,138136,0.8066
