tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_283000_1551800.las,23405,78400,0.2985,62638,8276,0.8833,62638,157953,0.3966,1.8203,108687,157953,0.6881
tile_283000_1551900.las,17840,67200,0.2655,42436,8486,0.8334,42436,105773,0.4012,1.776,64863,105773,0.6132
tile_283100_1550000.las,10883,67200,0.1619,23446,5012,0.8239,23446,48065,0.4878,1.5942,19827,48065,0.4125
tile_283100_1550100.las,13511,78400,0.1723,23860,4912,0.8293,23860,88690,0.269,2.5049,63731,88690,0.7186
tile_283100_1550200.las,11916,78400,0.152,25833,4217,0.8597,25833,151944,0.17,2.9331,131707,151944,0.8668
tile_283100_1550300.las,11445,78400,0.146,27767,4389,0.8635,27767,159548,0.174,2.9034,136986,159548,0.8586
tile_283100_1550400.las,11360,78400,0.1449,22997,3285,0.875,22997,137071,0.1678,2.7512,126750,137071,0.9247
tile_283100_1550500.las,18913,78400,0.2412,40425,4859,0.8927,40425,121930,0.3315,1.9516,105417,121930,0.8646
tile_283100_1550600.las,19840,78400,0.2531,52285,3964,0.9295,52285,169453,0.3086,2.0221,152944,169453,0.9026
tile_283100_1550700.las,12418,78400,0.1584,29233,3130,0.9033,29233,154941,0.1887,2.5909,144667,154941,0.9337
tile_283100_1550800.las,9194,78400,0.1173,15778,2869,0.8461,15778,89438,0.1764,2.7092,82434,89438,0.9217
tile_283100_1550900.las,13416,78400,0.1711,29742,4723,0.863,29742,106436,0.2794,2.2429,86306,106436,0.8109
tile_283100_1551000.las,23695,78400,0.3022,64186,8298,0.8855,64186,164854,0.3894,1.869,109434,164854,0.6638
tile_283100_1551100.las,17983,78400,0.2294,46453,5870,0.8878,46453,159854,0.2906,2.306,124017,159854,0.7758
tile_283100_1551200.las,9676,78400,0.1234,17143,3778,0.8194,17143,108089,0.1586,2.9439,96029,108089,0.8884
tile_283100_1551300.las,21488,78400,0.2741,51089,6863,0.8816,51089,135306,0.3776,1.8236,101259,135306,0.7484
tile_283100_1551400.las,26254,78400,0.3349,66492,8001,0.8926,66492,157519,0.4221,1.659,111453,157519,0.7076
tile_283100_1551500.las,27550,78400,0.3514,72259,7721,0.9035,72259,148897,0.4853,1.445,103471,148897,0.6949
tile_283100_1551600.las,22934,78400,0.2925,48453,8091,0.8569,48453,99617,0.4864,1.4359,56383,99617,0.566
tile_283100_1551700.las,27311,78400,0.3484,76242,8624,0.8984,76242,141456,0.539,1.3611,75090,141456,0.5308
tile_283100_1551800.las,28304,78400,0.361,75942,9588,0.8879,75942,151927,0.4999,1.4743,85855,151927,0.5651
tile_283100_1551900.las,26361,67200,0.3923,72149,8568,0.8939,72149,123021,0.5865,1.2115,59676,123021,0.4851
tile_283200_1550000.las,1543,27300,0.0565,1870,1419,0.5686,1870,4311,0.4338,0.0,68,4311,0.0158
tile_283200_1550100.las,11183,78400,0.1426,15273,5551,0.7334,15273,31807,0.4802,2.1946,5499,31807,0.1729
tile_283200_1550200.las,13684,78400,0.1745,27914,5905,0.8254,27914,91362,0.3055,2.3308,60386,91362,0.661
tile_283200_1550300.las,13394,78400,0.1708,32842,5274,0.8616,32842,146029,0.2249,2.6168,116666,146029,0.7989
tile_283200_1550400.las,8777,78400,0.112,19676,3031,0.8665,19676,139253,0.1413,3.0054,127298,139253,0.9141
tile_283200_1550500.las,11624,78400,0.1483,19011,3924,0.8289,19011,97948,0.1941,2.5963,87796,97948,0.8964
tile_283200_1550600.las,15613,78400,0.1991,34047,5355,0.8641,34047,151901,0.2241,2.457,134281,151901,0.884
tile_283200_1550700.las,13017,78400,0.166,30914,4325,0.8773,30914,185996,0.1662,2.7993,171655,185996,0.9229
tile_283200_1550800.las,11669,78400,0.1488,23631,4848,0.8298,23631,124951,0.1891,2.6916,107270,124951,0.8585
tile_283200_1550900.las,14030,78400,0.179,24751,5886,0.8079,24751,89524,0.2765,2.2795,63966,89524,0.7145
tile_283200_1551000.las,20596,78400,0.2627,54721,7270,0.8827,54721,150476,0.3637,1.989,102295,150476,0.6798
tile_283200_1551100.las,18645,78400,0.2378,45635,5005,0.9012,45635,171483,0.2661,2.2793,143930,171483,0.8393
tile_283200_1551200.las,16012,78400,0.2042,33260,4785,0.8742,33260,129685,0.2565,2.2749,110508,129685,0.8521
tile_283200_1551300.las,20721,78400,0.2643,42699,5218,0.8911,42699,112929,0.3781,1.7945,89543,112929,0.7929
tile_283200_1551400.las,20426,78400,0.2605,48539,5915,0.8914,48539,156808,0.3095,2.0625,127630,156808,0.8139
tile_283200_1551500.las,30346,78400,0.3871,82754,9434,0.8977,82754,156386,0.5292,1.3609,94981,156386,0.6073
tile_283200_1551600.las,25423,78400,0.3243,64374,9322,0.8735,64374,118355,0.5439,1.3503,59253,118355,0.5006
tile_283200_1551700.las,26889,78400,0.343,69286,10330,0.8703,69286,117426,0.59,1.2035,44282,117426,0.3771
tile_283200_1551800.las,30245,78400,0.3858,87854,11443,0.8848,87854,161541,0.5438,1.3869,75192,161541,0.4655
tile_283200_1551900.las,26230,67200,0.3903,76665,10249,0.8821,76665,141451,0.542,1.4415,65973,141451,0.4664
tile_283300_1550000.las,58,14994,0.0039,63,307,0.1703,63,424,0.1486,0.0,1,424,0.0024
tile_283300_1550100.las,7749,53340,0.1453,10251,4236,0.7076,10251,18746,0.5468,0.003,476,18746,0.0254
tile_283300_1550200.las,11142,78400,0.1421,15988,5903,0.7303,15988,35733,0.4474,2.2917,8588,35733,0.2403
tile_283300_1550300.las,5491,78400,0.07,11583,2990,0.7948,11583,74151,0.1562,3.0268,63424,74151,0.8553
tile_283300_1550400.las,8509,78400,0.1085,20289,2473,0.8914,20289,138473,0.1465,2.9709,126898,138473,0.9164
tile_283300_1550500.las,7163,78400,0.0914,12373,2217,0.848,12373,116402,0.1063,3.2287,110759,116402,0.9515
tile_283300_1550600.las,15818,78400,0.2018,31190,5655,0.8465,31190,124566,0.2504,2.3748,106064,124566,0.8515
tile_283300_1550700.las,15315,78400,0.1953,37264,5442,0.8726,37264,174703,0.2133,2.5198,153378,174703,0.8779
tile_283300_1550800.las,14872,78400,0.1897,33537,5926,0.8498,33537,148737,0.2255,2.4831,122392,148737,0.8229
tile_283300_1550900.las,14031,78400,0.179,24248,5792,0.8072,24248,90258,0.2687,2.2932,67382,90258,0.7465
tile_283300_1551000.las,17032,78400,0.2172,40581,6919,0.8543,40581,127689,0.3178,2.1673,89974,127689,0.7046
tile_283300_1551100.las,23812,78400,0.3037,66486,9291,0.8774,66486,168764,0.394,1.8179,107739,168764,0.6384
tile_283300_1551200.las,21942,78400,0.2799,54409,6515,0.8931,54409,144923,0.3754,1.8445,110295,144923,0.7611
tile_283300_1551300.las,17701,78400,0.2258,35204,4527,0.8861,35204,100745,0.3494,1.8823,81666,100745,0.8106
tile_283300_1551400.las,17730,78400,0.2261,42727,5140,0.8926,42727,145264,0.2941,2.1328,119989,145264,0.826
tile_283300_1551500.las,23035,78400,0.2938,61344,8027,0.8843,61344,162133,0.3784,1.9169,112515,162133,0.694
tile_283300_1551600.las,22923,78400,0.2924,58149,11002,0.8409,58149,140452,0.414,1.7915,81467,140452,0.58
tile_283300_1551700.las,20571,78400,0.2624,40294,10736,0.7896,40294,90654,0.4445,1.6251,41038,90654,0.4527
tile_283300_1551800.las,23609,78400,0.3011,66877,11013,0.8586,66877,164378,0.4068,1.7953,98572,164378,0.5997
tile_283300_1551900.las,22487,67200,0.3346,64644,11838,0.8452,64644,141129,0.458,1.7311,66188,141129,0.469
tile_283400_1550000.las,2,5130,0.0004,3,15,0.1667,3,20,0.15,0.0,0,20,0.0
tile_283400_1550100.las,4237,40320,0.1051,5324,2797,0.6556,5324,10575,0.5035,0.0015,220,10575,0.0208
tile_283400_1550200.las,12784,78400,0.1631,17085,5954,0.7416,17085,30129,0.5671,0.0142,839,30129,0.0278
tile_283400_1550300.las,4240,78400,0.0541,6137,3181,0.6586,6137,12040,0.5097,0.8006,1435,12040,0.1192
tile_283400_1550400.las,6498,78400,0.0829,15296,2124,0.8781,15296,77729,0.1968,2.6589,68275,77729,0.8784
tile_283400_1550500.las,8163,78400,0.1041,13976,2250,0.8613,13976,130560,0.107,3.2051,124644,130560,0.9547
tile_283400_1550600.las,16867,78400,0.2151,30426,7713,0.7978,30426,102204,0.2977,2.145,77073,102204,0.7541
tile_283400_1550700.las,15684,78400,0.2001,35997,6520,0.8466,35997,168062,0.2142,2.5422,145801,168062,0.8675
tile_283400_1550800.las,14960,78400,0.1908,37175,4410,0.894,37175,189042,0.1966,2.6061,171335,189042,0.9063
tile_283400_1550900.las,13562,78400,0.173,29138,5424,0.8431,29138,115494,0.2523,2.4474,90652,115494,0.7849
tile_283400_1551000.las,18752,78400,0.2392,39696,6453,0.8602,39696,98129,0.4045,1.7567,65742,98129,0.67
tile_283400_1551100.las,20521,78400,0.2617,56003,9721,0.8521,56003,162248,0.3452,2.0233,106467,162248,0.6562
tile_283400_1551200.las,18486,78400,0.2358,45035,5649,0.8885,45035,168837,0.2667,2.2637,143048,168837,0.8473
tile_283400_1551300.las,17585,78400,0.2243,36561,4440,0.8917,36561,120492,0.3034,2.057,102492,120492,0.8506
tile_283400_1551400.las,16866,78400,0.2151,36738,3958,0.9027,36738,126216,0.2911,2.108,109902,126216,0.8707
tile_283400_1551500.las,20089,78400,0.2562,52307,6600,0.888,52307,172576,0.3031,2.1033,138458,172576,0.8023
tile_283400_1551600.las,16267,78400,0.2075,40918,6645,0.8603,40918,171773,0.2382,2.4877,139810,171773,0.8139
tile_283400_1551700.las,15420,78400,0.1967,29730,6848,0.8128,29730,107463,0.2767,2.2128,82324,107463,0.7661
tile_283400_1551800.las,15962,78400,0.2036,38213,6327,0.8579,38213,124080,0.308,2.1364,92760,124080,0.7476
tile_283400_1551900.las,17856,67200,0.2657,47006,8917,0.8405,47006,130666,0.3597,2.0696,80332,130666,0.6148
tile_283500_1550100.las,1501,29400,0.0511,1820,1411,0.5633,1820,4052,0.4492,0.0029,71,4052,0.0175
tile_283500_1550200.las,11257,58800,0.1914,14900,5343,0.7361,14900,26416,0.5641,0.0023,738,26416,0.0279
tile_283500_1550300.las,7735,58800,0.1315,9652,4678,0.6736,9652,18809,0.5132,0.002,427,18809,0.0227
tile_283500_1550400.las,6585,78400,0.084,12740,2872,0.816,12740,59592,0.2138,2.49,50947,59592,0.8549
tile_283500_1550500.las,14997,78400,0.1913,32065,10985,0.7448,32065,146234,0.2193,2.5154,110990,146234,0.759
tile_283500_1550600.las,18178,78400,0.2319,36359,18714,0.6602,36359,119401,0.3045,2.0757,60149,119401,0.5038
tile_283500_1550700.las,15061,78400,0.1921,34444,6479,0.8417,34444,156788,0.2197,2.4952,133602,156788,0.8521
tile_283500_1550800.las,13876,78400,0.177,37289,4383,0.8948,37289,194439,0.1918,2.6765,174219,194439,0.896
tile_283500_1550900.las,9278,78400,0.1183,21196,3670,0.8524,21196,144556,0.1466,3.044,129452,144556,0.8955
tile_283500_1551000.las,10660,78400,0.136,18241,2525,0.8784,18241,91538,0.1993,2.5517,84369,91538,0.9217
tile_283500_1551100.las,11679,78400,0.149,23800,2880,0.8921,23800,141960,0.1677,2.7034,133907,141960,0.9433
tile_283500_1551200.las,12125,78400,0.1547,27042,2842,0.9049,27042,182165,0.1484,2.8428,173270,182165,0.9512
tile_283500_1551300.las,12612,78400,0.1609,24517,3025,0.8902,24517,141325,0.1735,2.6899,132398,141325,0.9368
tile_283500_1551400.las,16431,78400,0.2096,33175,3798,0.8973,33175,111040,0.2988,2.0642,96551,111040,0.8695
tile_283500_1551500.las,16336,78400,0.2084,39636,4510,0.8978,39636,148946,0.2661,2.2089,129172,148946,0.8672
tile_283500_1551600.las,13003,78400,0.1659,30522,3518,0.8967,30522,179517,0.17,2.7056,167076,179517,0.9307
tile_283500_1551700.las,16225,78400,0.207,32268,6842,0.8251,32268,124917,0.2583,2.2419,101682,124917,0.814
tile_283500_1551800.las,15048,78400,0.1919,27771,7412,0.7893,27771,92054,0.3017,2.067,66645,92054,0.724
tile_283500_1551900.las,18780,67200,0.2795,53452,11198,0.8268,53452,127683,0.4186,1.7703,64520,127683,0.5053
tile_283600_1550000.las,212,3000,0.0707,245,228,0.518,245,630,0.3889,0.0,10,630,0.0159
tile_283600_1550100.las,180,8910,0.0202,199,481,0.2926,199,823,0.2418,0.0,7,823,0.0085
tile_283600_1550200.las,7926,56700,0.1398,10282,4507,0.6952,10282,19130,0.5375,0.0039,538,19130,0.0281
tile_283600_1550300.las,11161,78400,0.1424,14495,5889,0.7111,14495,27151,0.5339,0.1994,812,27151,0.0299
tile_283600_1550400.las,14026,78400,0.1789,27039,7050,0.7932,27039,85336,0.3169,2.0136,62196,85336,0.7288
tile_283600_1550500.las,23873,78400,0.3045,66172,25556,0.7214,66172,160381,0.4126,1.534,66888,160381,0.4171
tile_283600_1550600.las,18794,78400,0.2397,41533,29227,0.587,41533,127407,0.326,1.5767,32356,127407,0.254
tile_283600_1550700.las,22507,78400,0.2871,55115,16859,0.7658,55115,127837,0.4311,1.468,52575,127837,0.4113
tile_283600_1550800.las,19926,78400,0.2542,64438,15297,0.8082,64438,185156,0.348,2.0921,100245,185156,0.5414
tile_283600_1550900.las,17528,78400,0.2236,53609,10318,0.8386,53609,175346,0.3057,2.1917,117286,175346,0.6689
tile_283600_1551000.las,15103,78400,0.1926,28352,4863,0.8536,28352,96087,0.2951,2.0606,80373,96087,0.8365
tile_283600_1551100.las,16212,78400,0.2068,30869,7720,0.7999,30869,111070,0.2779,2.1357,83413,111070,0.751
tile_283600_1551200.las,17621,78400,0.2248,40129,5778,0.8741,40129,174425,0.2301,2.42,151668,174425,0.8695
tile_283600_1551300.las,15194,78400,0.1938,31534,4420,0.8771,31534,158257,0.1993,2.5811,143646,158257,0.9077
tile_283600_1551400.las,13615,78400,0.1737,25229,3413,0.8808,25229,108762,0.232,2.347,99006,108762,0.9103
tile_283600_1551500.las,18641,78400,0.2378,36244,5755,0.863,36244,102427,0.3539,1.8338,81923,102427,0.7998
tile_283600_1551600.las,21909,78400,0.2795,57566,6390,0.9001,57566,169005,0.3406,1.9254,137285,169005,0.8123
tile_283600_1551700.las,26614,78400,0.3395,70344,9057,0.8859,70344,165544,0.4249,1.6387,120559,165544,0.7283
tile_283600_1551800.las,19411,78400,0.2476,35975,10121,0.7804,35975,93786,0.3836,1.7114,57176,93786,0.6096
tile_283600_1551900.las,18792,67200,0.2796,51820,11960,0.8125,51820,109958,0.4713,1.394,51818,109958,0.4713
tile_283700_1550000.las,2678,23769,0.1127,3896,1440,0.7301,3896,6761,0.5762,0.0048,276,6761,0.0408
tile_283700_1550100.las,5,2666,0.0019,5,39,0.1136,5,53,0.0943,0.0,0,53,0.0
tile_283700_1550200.las,3720,75600,0.0492,4611,2615,0.6381,4611,9345,0.4934,0.0203,250,9345,0.0268
tile_283700_1550300.las,14275,78400,0.1821,20845,6933,0.7504,20845,36823,0.5661,0.2194,1637,36823,0.0445
tile_283700_1550400.las,22949,78400,0.2927,53795,14616,0.7864,53795,106205,0.5065,1.339,34419,106205,0.3241
tile_283700_1550500.las,27137,78400,0.3461,78032,26779,0.7445,78032,167099,0.467,1.3465,55394,167099,0.3315
tile_283700_1550600.las,25807,78400,0.3292,69442,26216,0.7259,69442,149913,0.4632,1.1086,48425,149913,0.323
tile_283700_1550700.las,23227,78400,0.2963,49897,15655,0.7612,49897,126400,0.3948,1.6256,61142,126400,0.4837
tile_283700_1550800.las,23947,78400,0.3054,75607,19682,0.7934,75607,162493,0.4653,1.3366,49856,162493,0.3068
tile_283700_1550900.las,26823,78400,0.3421,91031,19398,0.8243,91031,186270,0.4887,1.2311,66986,186270,0.3596
tile_283700_1551000.las,19083,78400,0.2434,45491,8131,0.8484,45491,120502,0.3775,1.7745,83711,120502,0.6947
tile_283700_1551100.las,17675,78400,0.2254,32507,10211,0.761,32507,90265,0.3601,1.752,51022,90265,0.5652
tile_283700_1551200.las,22637,78400,0.2887,57235,10064,0.8505,57235,149599,0.3826,1.7732,98221,149599,0.6566
tile_283700_1551300.las,22389,78400,0.2856,59330,11641,0.836,59330,171330,0.3463,1.9273,118238,171330,0.6901
tile_283700_1551400.las,19083,78400,0.2434,40982,6367,0.8655,40982,124748,0.3285,1.9447,101032,124748,0.8099
tile_283700_1551500.las,21393,78400,0.2729,46182,9469,0.8299,46182,112918,0.409,1.6313,75174,112918,0.6657
tile_283700_1551600.las,24246,78400,0.3093,65820,9781,0.8706,65820,167638,0.3926,1.7919,116385,167638,0.6943
tile_283700_1551700.las,26977,78400,0.3441,75417,8916,0.8943,75417,168858,0.4466,1.5942,114923,168858,0.6806
tile_283700_1551800.las,19082,78400,0.2434,45927,9848,0.8234,45927,117199,0.3919,1.7158,76126,117199,0.6495
tile_283700_1551900.las,15184,67200,0.226,29961,9355,0.7621,29961,80923,0.3702,1.833,43009,80923,0.5315
tile_283800_1550000.las,7938,47040,0.1688,13379,4063,0.7671,13379,23234,0.5758,0.0024,662,23234,0.0285
tile_283800_1550100.las,66,18648,0.0035,71,243,0.2261,71,386,0.1839,0.0,1,386,0.0026
tile_283800_1550200.las,1037,54600,0.019,1180,1306,0.4747,1180,3153,0.3742,0.0035,46,3153,0.0146
tile_283800_1550300.las,13326,78400,0.17,20470,7339,0.7361,20470,36917,0.5545,0.0922,1589,36917,0.043
tile_283800_1550400.las,25174,78400,0.3211,63725,18419,0.7758,63725,113331,0.5623,0.7152,18560,113331,0.1638
tile_283800_1550500.las,29827,78400,0.3804,90644,29109,0.7569,90644,178684,0.5073,1.0798,46034,178684,0.2576
tile_283800_1550600.las,29907,78400,0.3815,85015,23156,0.7859,85015,171541,0.4956,1.2207,68263,171541,0.3979
tile_283800_1550700.las,24219,78400,0.3089,48945,12194,0.8006,48945,123235,0.3972,1.6347,75167,123235,0.6099
tile_283800_1550800.las,20032,78400,0.2555,56214,23827,0.7023,56214,138945,0.4046,1.2806,22335,138945,0.1607
tile_283800_1550900.las,24745,78400,0.3156,95552,26314,0.7841,95552,195441,0.4889,0.767,19360,195441,0.0991
tile_283800_1551000.las,25484,78400,0.3251,73974,12866,0.8518,73974,149381,0.4952,1.3248,65401,149381,0.4378
tile_283800_1551100.las,21380,78400,0.2727,39340,7500,0.8399,39340,88880,0.4426,1.5066,54045,88880,0.6081
tile_283800_1551200.las,22217,78400,0.2834,60488,11430,0.8411,60488,129680,0.4664,1.4349,67954,129680,0.524
tile_283800_1551300.las,30559,78400,0.3898,102720,16964,0.8583,102720,184949,0.5554,1.092,82090,184949,0.4439
tile_283800_1551400.las,26129,78400,0.3333,70171,11743,0.8566,70171,149620,0.469,1.4342,90655,149620,0.6059
tile_283800_1551500.las,23720,78400,0.3026,52028,11527,0.8186,52028,116495,0.4466,1.4916,67609,116495,0.5804
tile_283800_1551600.las,26685,78400,0.3404,69333,13160,0.8405,69333,160120,0.433,1.6022,97234,160120,0.6073
tile_283800_1551700.las,27043,78400,0.3449,70119,9128,0.8848,70119,161268,0.4348,1.5804,114301,161268,0.7088
tile_283800_1551800.las,26609,78400,0.3394,72773,10446,0.8745,72773,142478,0.5108,1.3219,84212,142478,0.5911
tile_283800_1551900.las,18204,67200,0.2709,34903,9672,0.783,34903,72460,0.4817,1.3074,28513,72460,0.3935
tile_283900_1550000.las,12362,43200,0.2862,22352,5556,0.8009,22352,37128,0.602,0.0046,1085,37128,0.0292
tile_283900_1550100.las,1563,49623,0.0315,2119,1272,0.6249,2119,4451,0.4761,0.0018,82,4451,0.0184
tile_283900_1550200.las,75,45666,0.0016,79,417,0.1593,79,587,0.1346,0.0445,5,587,0.0085
tile_283900_1550300.las,8755,63360,0.1382,16086,5382,0.7493,16086,28152,0.5714,0.0908,1843,28152,0.0655
tile_283900_1550400.las,18359,67200,0.2732,37778,15753,0.7057,37778,75312,0.5016,0.7621,7764,75312,0.1031
tile_283900_1550500.las,22722,67200,0.3381,63684,19582,0.7648,63684,136807,0.4655,1.4312,50687,136807,0.3705
tile_283900_1550600.las,25702,67200,0.3825,86215,17531,0.831,86215,168346,0.5121,1.2137,80075,168346,0.4757
tile_283900_1550700.las,19338,67200,0.2878,45091,23106,0.6612,45091,113985,0.3956,1.1806,25320,113985,0.2221
tile_283900_1550800.las,16048,67200,0.2388,37333,26525,0.5846,37333,108312,0.3447,0.7336,6376,108312,0.0589
tile_283900_1550900.las,19830,67200,0.2951,72458,24710,0.7457,72458,155647,0.4655,0.5071,13453,155647,0.0864
tile_283900_1551000.las,23701,67200,0.3527,82782,17254,0.8275,82782,150273,0.5509,0.7908,34909,150273,0.2323
tile_283900_1551100.las,20869,67200,0.3106,44842,9115,0.8311,44842,87226,0.5141,1.1875,42166,87226,0.4834
tile_283900_1551200.las,21644,67200,0.3221,51694,10012,0.8377,51694,94186,0.5489,1.0365,43900,94186,0.4661
tile_283900_1551300.las,27509,67200,0.4094,91070,14395,0.8635,91070,150351,0.6057,0.8291,55908,150351,0.3718
tile_283900_1551400.las,25785,67200,0.3837,81376,14546,0.8484,81376,147231,0.5527,1.0378,59712,147231,0.4056
tile_283900_1551500.las,23790,67200,0.354,62178,12090,0.8372,62178,118488,0.5248,1.1843,55479,118488,0.4682
tile_283900_1551600.las,25052,67200,0.3728,69823,10105,0.8736,69823,145122,0.4811,1.4228,88650,145122,0.6109
tile_283900_1551700.las,22715,67200,0.338,60888,11229,0.8443,60888,137089,0.4441,1.5211,78857,137089,0.5752
tile_283900_1551800.las,24452,67200,0.3639,70112,10794,0.8666,70112,132301,0.5299,1.2246,69756,132301,0.5273
tile_283900_1551900.las,16849,57600,0.2925,40346,10626,0.7915,40346,75750,0.5326,0.9956,26997,75750,0.3564
