tile,understory_veg_returns,ground_returns,fractional_cover
tile_282600_1551800.las,29637,3948,0.8824
tile_282600_1551900.las,34277,3136,0.9162
tile_282700_1550000.las,18951,3514,0.8436
tile_282700_1550100.las,33636,3492,0.9059
tile_282700_1550200.las,37299,8441,0.8155
tile_282700_1550300.las,50152,11718,0.8106
tile_282700_1550400.las,58013,7515,0.8853
tile_282700_1550500.las,39524,5029,0.8871
tile_282700_1550600.las,15228,2612,0.8536
tile_282700_1550700.las,14708,2590,0.8503
tile_282700_1550800.las,24190,2965,0.8908
tile_282700_1550900.las,43838,5668,0.8855
tile_282700_1551000.las,75119,10735,0.875
tile_282700_1551100.las,58840,11425,0.8374
tile_282700_1551200.las,82304,14604,0.8493
tile_282700_1551300.las,88057,12269,0.8777
tile_282700_1551400.las,36432,5962,0.8594
tile_282700_1551500.las,39152,3480,0.9184
tile_282700_1551600.las,61343,7003,0.8975
tile_282700_1551700.las,60926,9420,0.8661
tile_282700_1551800.las,41155,9066,0.8195
tile_282700_1551900.las,28906,4884,0.8555
tile_282800_1550000.las,16173,2803,0.8523
tile_282800_1550100.las,41599,5568,0.882
tile_282800_1550200.las,53429,8143,0.8677
tile_282800_1550300.las,52858,9417,0.8488
tile_282800_1550400.las,47133,6321,0.8817
tile_282800_1550500.las,36517,4755,0.8848
tile_282800_1550600.las,23561,3228,0.8795
tile_282800_1550700.las,16861,2618,0.8656
tile_282800_1550800.las,24764,4351,0.8506
tile_282800_1550900.las,45635,7488,0.859
tile_282800_1551000.las,39176,6021,0.8668
tile_282800_1551100.las,37787,8436,0.8175
tile_282800_1551200.las,70125,12666,0.847
tile_282800_1551300.las,70412,11459,0.86
tile_282800_1551400.las,38049,6540,0.8533
tile_282800_1551500.las,31381,5074,0.8608
tile_282800_1551600.las,44490,4730,0.9039
tile_282800_1551700.las,57074,5322,0.9147
tile_282800_1551800.las,45681,6870,0.8693
tile_282800_1551900.las,29630,4601,0.8656
tile_282900_1550000.las,15472,2443,0.8636
tile_282900_1550100.las,25014,3452,0.8787
tile_282900_1550200.las,33530,4570,0.8801
tile_282900_1550300.las,39830,6016,0.8688
tile_282900_1550400.las,36758,5681,0.8661
tile_282900_1550500.las,50426,4909,0.9113
tile_282900_1550600.las,55910,4845,0.9203
tile_282900_1550700.las,20771,2838,0.8798
tile_282900_1550800.las,29885,5201,0.8518
tile_282900_1550900.las,36652,5448,0.8706
tile_282900_1551000.las,26957,5610,0.8277
tile_282900_1551100.las,34424,5998,0.8516
tile_282900_1551200.las,29919,6012,0.8327
tile_282900_1551300.las,38452,5313,0.8786
tile_282900_1551400.las,61607,8855,0.8743
tile_282900_1551500.las,51128,9080,0.8492
tile_282900_1551600.las,61197,7466,0.8913
tile_282900_1551700.las,66329,7127,0.903
tile_282900_1551800.las,51521,5092,0.9101
tile_282900_1551900.las,29376,5535,0.8415
tile_283000_1550000.las,30548,4599,0.8691
tile_283000_1550100.las,21273,2701,0.8873
tile_283000_1550200.las,25518,3654,0.8747
tile_283000_1550300.las,24166,3528,0.8726
tile_283000_1550400.las,33549,5025,0.8697
tile_283000_1550500.las,53392,4758,0.9182
tile_283000_1550600.las,54491,3931,0.9327
tile_283000_1550700.las,24943,2843,0.8977
tile_283000_1550800.las,18212,3604,0.8348
tile_283000_1550900.las,32910,6439,0.8364
tile_283000_1551000.las,55218,9896,0.848
tile_283000_1551100.las,56304,6813,0.8921
tile_283000_1551200.las,19961,3476,0.8517
tile_283000_1551300.las,35139,4095,0.8956
tile_283000_1551400.las,69627,9652,0.8783
tile_283000_1551500.las,64124,8711,0.8804
tile_283000_1551600.las,60767,9334,0.8668
tile_283000_1551700.las,70381,9129,0.8852
tile_283000_1551800.las,62638,8276,0.8833
tile_283000_1551900.las,42436,8486,0.8334
tile_283100_1550000.las,23446,5012,0.8239
tile_283100_1550100.las,23860,4912,0.8293
tile_283100_1550200.las,25833,4217,0.8597
tile_283100_1550300.las,27767,4389,0.8635
tile_283100_1550400.las,22997,3285,0.875
tile_283100_1550500.las,40425,4859,0.8927
tile_283100_1550600.las,52285,3964,0.9295
tile_283100_1550700.las,29233,3130,0.9033
tile_283100_1550800.las,15778,2869,0.8461
tile_283100_1550900.las,29742,4723,0.863
tile_283100_1551000.las,64186,8298,0.8855
tile_283100_1551100.las,46453,5870,0.8878
tile_283100_1551200.las,17143,3778,0.8194
tile_283100_1551300.las,51089,6863,0.8816
tile_283100_1551400.las,66492,8001,0.8926
tile_283100_1551500.las,72259,7721,0.9035
tile_283100_1551600.las,48453,8091,0.8569
tile_283100_1551700.las,76242,8624,0.8984
tile_283100_1551800.las,75942,9588,0.8879
tile_283100_1551900.las,72149,8568,0.8939
tile_283200_1550000.las,1870,1419,0.5686
tile_283200_1550100.las,15273,5551,0.7334
tile_283200_1550200.las,27914,5905,0.8254
tile_283200_1550300.las,32842,5274,0.8616
tile_283200_1550400.las,19676,3031,0.8665
tile_283200_1550500.las,19011,3924,0.8289
tile_283200_1550600.las,34047,5355,0.8641
tile_283200_1550700.las,30914,4325,0.8773
tile_283200_1550800.las,23631,4848,0.8298
tile_283200_1550900.las,24751,5886,0.8079
tile_283200_1551000.las,54721,7270,0.8827
tile_283200_1551100.las,45635,5005,0.9012
tile_283200_1551200.las,33260,4785,0.8742
tile_283200_1551300.las,42699,5218,0.8911
tile_283200_1551400.las,48539,5915,0.8914
tile_283200_1551500.las,82754,9434,0.8977
tile_283200_1551600.las,64374,9322,0.8735
tile_283200_1551700.las,69286,10330,0.8703
tile_283200_1551800.las,87854,11443,0.8848
tile_283200_1551900.las,76665,10249,0.8821
tile_283300_1550000.las,63,307,0.1703
tile_283300_1550100.las,10251,4236,0.7076
tile_283300_1550200.las,15988,5903,0.7303
tile_283300_1550300.las,11583,2990,0.7948
tile_283300_1550400.las,20289,2473,0.8914
tile_283300_1550500.las,12373,2217,0.848
tile_283300_1550600.las,31190,5655,0.8465
tile_283300_1550700.las,37264,5442,0.8726
tile_283300_1550800.las,33537,5926,0.8498
tile_283300_1550900.las,24248,5792,0.8072
tile_283300_1551000.las,40581,6919,0.8543
tile_283300_1551100.las,66486,9291,0.8774
tile_283300_1551200.las,54409,6515,0.8931
tile_283300_1551300.las,35204,4527,0.8861
tile_283300_1551400.las,42727,5140,0.8926
tile_283300_1551500.las,61344,8027,0.8843
tile_283300_1551600.las,58149,11002,0.8409
tile_283300_1551700.las,40294,10736,0.7896
tile_283300_1551800.las,66877,11013,0.8586
tile_283300_1551900.las,64644,11838,0.8452
tile_283400_1550000.las,3,15,0.1667
tile_283400_1550100.las,5324,2797,0.6556
tile_283400_1550200.las,17085,5954,0.7416
tile_283400_1550300.las,6137,3181,0.6586
tile_283400_1550400.las,15296,2124,0.8781
tile_283400_1550500.las,13976,2250,0.8613
tile_283400_1550600.las,30426,7713,0.7978
tile_283400_1550700.las,35997,6520,0.8466
tile_283400_1550800.las,37175,4410,0.894
tile_283400_1550900.las,29138,5424,0.8431
tile_283400_1551000.las,39696,6453,0.8602
tile_283400_1551100.las,56003,9721,0.8521
tile_283400_1551200.las,45035,5649,0.8885
tile_283400_1551300.las,36561,4440,0.8917
tile_283400_1551400.las,36738,3958,0.9027
tile_283400_1551500.las,52307,6600,0.888
tile_283400_1551600.las,40918,6645,0.8603
tile_283400_1551700.las,29730,6848,0.8128
tile_283400_1551800.las,38213,6327,0.8579
tile_283400_1551900.las,47006,8917,0.8405
tile_283500_1550100.las,1820,1411,0.5633
tile_283500_1550200.las,14900,5343,0.7361
tile_283500_1550300.las,9652,4678,0.6736
tile_283500_1550400.las,12740,2872,0.816
tile_283500_1550500.las,32065,10985,0.7448
tile_283500_1550600.las,36359,18714,0.6602
tile_283500_1550700.las,34444,6479,0.8417
tile_283500_1550800.las,37289,4383,0.8948
tile_283500_1550900.las,21196,3670,0.8524
tile_283500_1551000.las,18241,2525,0.8784
tile_283500_1551100.las,23800,2880,0.8921
tile_283500_1551200.las,27042,2842,0.9049
tile_283500_1551300.las,24517,3025,0.8902
tile_283500_1551400.las,33175,3798,0.8973
tile_283500_1551500.las,39636,4510,0.8978
tile_283500_1551600.las,30522,3518,0.8967
tile_283500_1551700.las,32268,6842,0.8251
tile_283500_1551800.las,27771,7412,0.7893
tile_283500_1551900.las,53452,11198,0.8268
tile_283600_1550000.las,245,228,0.518
tile_283600_1550100.las,199,481,0.2926
tile_283600_1550200.las,10282,4507,0.6952
tile_283600_1550300.las,14495,5889,0.7111
tile_283600_1550400.las,27039,7050,0.7932
tile_283600_1550500.las,66172,25556,0.7214
tile_283600_1550600.las,41533,29227,0.587
tile_283600_1550700.las,55115,16859,0.7658
tile_283600_1550800.las,64438,15297,0.8082
tile_283600_1550900.las,53609,10318,0.8386
tile_283600_1551000.las,28352,4863,0.8536
tile_283600_1551100.las,30869,7720,0.7999
tile_283600_1551200.las,40129,5778,0.8741
tile_283600_1551300.las,31534,4420,0.8771
tile_283600_1551400.las,25229,3413,0.8808
tile_283600_1551500.las,36244,5755,0.863
tile_283600_1551600.las,57566,6390,0.9001
tile_283600_1551700.las,70344,9057,0.8859
tile_283600_1551800.las,35975,10121,0.7804
tile_283600_1551900.las,51820,11960,0.8125
tile_283700_1550000.las,3896,1440,0.7301
tile_283700_1550100.las,5,39,0.1136
tile_283700_1550200.las,4611,2615,0.6381
tile_283700_1550300.las,20845,6933,0.7504
tile_283700_1550400.las,53795,14616,0.7864
tile_283700_1550500.las,78032,26779,0.7445
tile_283700_1550600.las,69442,26216,0.7259
tile_283700_1550700.las,49897,15655,0.7612
tile_283700_1550800.las,75607,19682,0.7934
tile_283700_1550900.las,91031,19398,0.8243
tile_283700_1551000.las,45491,8131,0.8484
tile_283700_1551100.las,32507,10211,0.761
tile_283700_1551200.las,57235,10064,0.8505
tile_283700_1551300.las,59330,11641,0.836
tile_283700_1551400.las,40982,6367,0.8655
tile_283700_1551500.las,46182,9469,0.8299
tile_283700_1551600.las,65820,9781,0.8706
