tile,understory_returns,first_returns,normalized_cover
tile_283300_1550100.las,10251,18746,0.5468
tile_283300_1550200.las,15988,35733,0.4474
tile_283300_1550300.las,11583,74151,0.1562
tile_283300_1550400.las,20289,138473,0.1465
tile_283300_1550500.las,12373,116402,0.1063
tile_283300_1550600.las,31190,124566,0.2504
tile_283300_1550700.las,37264,174703,0.2133
tile_283300_1550800.las,33537,148737,0.2255
tile_283300_1550900.las,24248,90258,0.2687
tile_283300_1551000.las,40581,127689,0.3178
tile_283300_1551100.las,66486,168764,0.394
tile_283300_1551200.las,54409,144923,0.3754
tile_283300_1551300.las,35204,100745,0.3494
tile_283300_1551400.las,42727,145264,0.2941
tile_283300_1551500.las,61344,162133,0.3784
tile_283300_1551600.las,58149,140452,0.414
tile_283300_1551700.las,40294,90654,0.4445
tile_283300_1551800.las,66877,164378,0.4068
tile_283300_1551900.las,64644,141129,0.458
tile_283400_1550000.las,3,20,0.15
tile_283400_1550100.las,5324,10575,0.5035
tile_283400_1550200.las,17085,30129,0.5671
tile_283400_1550300.las,6137,12040,0.5097
tile_283400_1550400.las,15296,77729,0.1968
tile_283400_1550500.las,13976,130560,0.107
tile_283400_1550600.las,30426,102204,0.2977
tile_283400_1550700.las,35997,168062,0.2142
tile_283400_1550800.las,37175,189042,0.1966
tile_283400_1550900.las,29138,115494,0.2523
tile_283400_1551000.las,39696,98129,0.4045
tile_283400_1551100.las,56003,162248,0.3452
tile_283400_1551200.las,45035,168837,0.2667
tile_283400_1551300.las,36561,120492,0.3034
tile_283400_1551400.las,36738,126216,0.2911
tile_283400_1551500.las,52307,172576,0.3031
tile_283400_1551600.las,40918,171773,0.2382
tile_283400_1551700.las,29730,107463,0.2767
tile_283400_1551800.las,38213,124080,0.308
tile_283400_1551900.las,47006,130666,0.3597
tile_283500_1550100.las,1820,4052,0.4492
tile_283500_1550200.las,14900,26416,0.5641
tile_283500_1550300.las,9652,18809,0.5132
tile_283500_1550400.las,12740,59592,0.2138
tile_283500_1550500.las,32065,146234,0.2193
tile_283500_1550600.las,36359,119401,0.3045
tile_283500_1550700.las,34444,156788,0.2197
tile_283500_1550800.las,37289,194439,0.1918
tile_283500_1550900.las,21196,144556,0.1466
tile_283500_1551000.las,18241,91538,0.1993
tile_283500_1551100.las,23800,141960,0.1677
tile_283500_1551200.las,27042,182165,0.1484
tile_283500_1551300.las,24517,141325,0.1735
tile_283500_1551400.las,33175,111040,0.2988
tile_283500_1551500.las,39636,148946,0.2661
tile_283500_1551600.las,30522,179517,0.17
tile_283500_1551700.las,32268,124917,0.2583
tile_283500_1551800.las,27771,92054,0.3017
tile_283500_1551900.las,53452,127683,0.4186
tile_283600_1550000.las,245,630,0.3889
tile_283600_1550100.las,199,823,0.2418
tile_283600_1550200.las,10282,19130,0.5375
tile_283600_1550300.las,14495,27151,0.5339
tile_283600_1550400.las,27039,85336,0.3169
tile_283600_1550500.las,66172,160381,0.4126
tile_283600_1550600.las,41533,127407,0.326
tile_283600_1550700.las,55115,127837,0.4311
tile_283600_1550800.las,64438,185156,0.348
tile_283600_1550900.las,53609,175346,0.3057
tile_283600_1551000.las,28352,96087,0.2951
tile_283600_1551100.las,30869,111070,0.2779
tile_283600_1551200.las,40129,174425,0.2301
tile_283600_1551300.las,31534,158257,0.1993
tile_283600_1551400.las,25229,108762,0.232
tile_283600_1551500.las,36244,102427,0.3539
tile_283600_1551600.las,57566,169005,0.3406
tile_283600_1551700.las,70344,165544,0.4249
tile_283600_1551800.las,35975,93786,0.3836
tile_283600_1551900.las,51820,109958,0.4713
tile_283700_1550000.las,3896,6761,0.5762
tile_283700_1550100.las,5,53,0.0943
tile_283700_1550200.las,4611,9345,0.4934
tile_283700_1550300.las,20845,36823,0.5661
tile_283700_1550400.las,53795,106205,0.5065
tile_283700_1550500.las,78032,167099,0.467
tile_283700_1550600.las,69442,149913,0.4632
tile_283700_1550700.las,49897,126400,0.3948
tile_283700_1550800.las,75607,162493,0.4653
tile_283700_1550900.las,91031,186270,0.4887
tile_283700_1551000.las,45491,120502,0.3775
tile_283700_1551100.las,32507,90265,0.3601
tile_283700_1551200.las,57235,149599,0.3826
