tile,lad_0.5_3.5m
tile_282900_1550800.las,2.1121
tile_282900_1550900.las,2.5551
tile_282900_1551000.las,2.9533
tile_282900_1551100.las,2.1845
tile_282900_1551200.las,2.4464
tile_282900_1551300.las,2.3828
tile_282900_1551400.las,1.7561
tile_282900_1551500.las,1.4887
tile_282900_1551600.las,1.6538
tile_282900_1551700.las,1.7666
tile_282900_1551800.las,1.9708
tile_282900_1551900.las,1.9868
tile_283000_1550000.las,1.9193
tile_283000_1550100.las,2.6428
tile_283000_1550200.las,2.7557
tile_283000_1550300.las,2.8669
tile_283000_1550400.las,2.2192
tile_283000_1550500.las,1.8766
tile_283000_1550600.las,2.1183
tile_283000_1550700.las,2.6203
tile_283000_1550800.las,2.457
tile_283000_1550900.las,2.4418
tile_283000_1551000.las,2.217
tile_283000_1551100.las,1.8126
tile_283000_1551200.las,2.6932
tile_283000_1551300.las,2.4123
tile_283000_1551400.las,1.5506
tile_283000_1551500.las,1.3716
tile_283000_1551600.las,1.3134
tile_283000_1551700.las,1.6906
tile_283000_1551800.las,1.8203
tile_283000_1551900.las,1.776
tile_283100_1550000.las,1.5942
tile_283100_1550100.las,2.5049
tile_283100_1550200.las,2.9331
tile_283100_1550300.las,2.9034
tile_283100_1550400.las,2.7512
tile_283100_1550500.las,1.9516
tile_283100_1550600.las,2.0221
tile_283100_1550700.las,2.5909
tile_283100_1550800.las,2.7092
tile_283100_1550900.las,2.2429
tile_283100_1551000.las,1.869
tile_283100_1551100.las,2.306
tile_283100_1551200.las,2.9439
tile_283100_1551300.las,1.8236
tile_283100_1551400.las,1.659
tile_283100_1551500.las,1.445
tile_283100_1551600.las,1.4359
tile_283100_1551700.las,1.3611
tile_283100_1551800.las,1.4743
tile_283100_1551900.las,1.2115
tile_283200_1550000.las,0.0
tile_283200_1550100.las,2.1946
tile_283200_1550200.las,2.3308
tile_283200_1550300.las,2.6168
tile_283200_1550400.las,3.0054
tile_283200_1550500.las,2.5963
tile_283200_1550600.las,2.457
tile_283200_1550700.las,2.7993
tile_283200_1550800.las,2.6916
tile_283200_1550900.las,2.2795
tile_283200_1551000.las,1.989
tile_283200_1551100.las,2.2793
tile_283200_1551200.las,2.2749
tile_283200_1551300.las,1.7945
tile_283200_1551400.las,2.0625
tile_283200_1551500.las,1.3609
tile_283200_1551600.las,1.3503
tile_283200_1551700.las,1.2035
tile_283200_1551800.las,1.3869
tile_283200_1551900.las,1.4415
tile_283300_1550000.las,0.0
tile_283300_1550100.las,0.003
tile_283300_1550200.las,2.2917
tile_283300_1550300.las,3.0268
tile_283300_1550400.las,2.9709
tile_283300_1550500.las,3.2287
tile_283300_1550600.las,2.3748
tile_283300_1550700.las,2.5198
tile_283300_1550800.las,2.4831
tile_283300_1550900.las,2.2932
tile_283300_1551000.las,2.1673
tile_283300_1551100.las,1.8179
tile_283300_1551200.las,1.8445
tile_283300_1551300.las,1.8823
tile_283300_1551400.las,2.1328
tile_283300_1551500.las,1.9169
tile_283300_1551600.las,1.7915
tile_283300_1551700.las,1.6251
tile_283300_1551800.las,1.7953
tile_283300_1551900.las,1.7311
tile_283400_1550000.las,0.0
tile_283400_1550100.las,0.0015
tile_283400_1550200.las,0.0142
tile_283400_1550300.las,0.8006
tile_283400_1550400.las,2.6589
tile_283400_1550500.las,3.2051
tile_283400_1550600.las,2.145
tile_283400_1550700.las,2.5422
tile_283400_1550800.las,2.6061
tile_283400_1550900.las,2.4474
tile_283400_1551000.las,1.7567
tile_283400_1551100.las,2.0233
tile_283400_1551200.las,2.2637
tile_283400_1551300.las,2.057
tile_283400_1551400.las,2.108
tile_283400_1551500.las,2.1033
tile_283400_1551600.las,2.4877
tile_283400_1551700.las,2.2128
tile_283400_1551800.las,2.1364
tile_283400_1551900.las,2.0696
tile_283500_1550100.las,0.0029
tile_283500_1550200.las,0.0023
tile_283500_1550300.las,0.002
tile_283500_1550400.las,2.49
tile_283500_1550500.las,2.5154
tile_283500_1550600.las,2.0757
