tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282600_1551500.las,12112,78400,0.1545,28557,3295,0.8966,28557,147732,0.1933,2.619,134355,147732,0.9095,100.0,0.699131204485893,0.060802875697034,0.529136478900909,0.780648946762085
tile_282600_1551600.las,13921,78400,0.1776,32386,3939,0.8916,32386,154708,0.2093,2.5645,137081,154708,0.8861,100.0,0.67836226940155,0.044788488661931,0.529423177242279,0.756577968597412
tile_282600_1551700.las,13533,78400,0.1726,29373,3959,0.8812,29373,137957,0.2129,2.524,121229,137957,0.8787,100.0,0.645626600384712,0.04563590996112,0.518393456935883,0.738137066364288
tile_282600_1551800.las,15556,78400,0.1984,29637,3948,0.8824,29637,94251,0.3144,2.0068,79483,94251,0.8433,100.0,0.620009998083115,0.045253786582349,0.505594491958618,0.709930896759033
tile_282600_1551900.las,14088,67200,0.2096,34277,3136,0.9162,34277,118495,0.2893,2.1033,105819,118495,0.893,100.0,0.601371600031853,0.050523669397254,0.492271274328232,0.72586065530777
tile_282700_1550000.las,10603,67200,0.1578,18951,3514,0.8436,18951,115231,0.1645,2.8118,106326,115231,0.9227,100.0,0.464044270813465,0.045170832373008,0.358354985713959,0.564902126789093
tile_282700_1550100.las,14064,78400,0.1794,33636,3492,0.9059,33636,207950,0.1618,2.7538,196927,207950,0.947,100.0,0.549479378759861,0.053574453696267,0.399223357439041,0.607826888561249
tile_282700_1550200.las,16664,78400,0.2126,37299,8441,0.8155,37299,152947,0.2439,2.3651,119384,152947,0.7806,100.0,0.562638819515705,0.021328425219042,0.479355365037918,0.607520163059235
tile_282700_1550300.las,23109,78400,0.2948,50152,11718,0.8106,50152,118255,0.4241,1.5461,65405,118255,0.5531,100.0,0.525148769021034,0.034255259049397,0.444358319044113,0.605327129364014
tile_282700_1550400.las,21967,78400,0.2802,58013,7515,0.8853,58013,161745,0.3587,1.896,119078,161745,0.7362,100.0,0.565095620155334,0.035484429631531,0.450914353132248,0.648728609085083
tile_282700_1550500.las,16177,78400,0.2063,39524,5029,0.8871,39524,189645,0.2084,2.5426,166794,189645,0.8795,100.0,0.642181805968285,0.053264356206642,0.49030989408493,0.748411953449249
tile_282700_1550600.las,9110,78400,0.1162,15228,2612,0.8536,15228,126468,0.1204,3.0674,120889,126468,0.9559,100.0,0.6793788844347,0.049162854137484,0.566060245037079,0.751286685466766
tile_282700_1550700.las,9058,78400,0.1155,14708,2590,0.8503,14708,87592,0.1679,2.7728,79753,87592,0.9105,100.0,0.606195687949657,0.065329997902024,0.385465115308762,0.739203035831451
tile_282700_1550800.las,11232,78400,0.1433,24190,2965,0.8908,24190,150212,0.161,2.7856,140488,150212,0.9353,100.0,0.694134166836739,0.03075885277567,0.602021396160126,0.76139909029007
tile_282700_1550900.las,17621,78400,0.2248,43838,5668,0.8855,43838,168759,0.2598,2.3514,139394,168759,0.826,100.0,0.664348191022873,0.055043938309269,0.534982800483704,0.760436296463013
tile_282700_1551000.las,29492,78400,0.3762,75119,10735,0.875,75119,137051,0.5481,1.218,66573,137051,0.4858,100.0,0.540337873697281,0.070330404577221,0.425622850656509,0.691457211971283
tile_282700_1551100.las,25819,78400,0.3293,58840,11425,0.8374,58840,109660,0.5366,1.2828,35141,109660,0.3205,100.0,0.458939400315285,0.081690023163672,0.258620411157608,0.607396066188812
tile_282700_1551200.las,26033,78400,0.3321,82304,14604,0.8493,82304,163962,0.502,1.6265,51180,163962,0.3121,100.0,0.423626327514648,0.127292098279639,0.229073017835617,0.61829000711441
tile_282700_1551300.las,30655,78400,0.391,88057,12269,0.8777,88057,174154,0.5056,1.4608,87917,174154,0.5048,100.0,0.568236618340015,0.094024937045263,0.325158357620239,0.700281381607056
tile_282700_1551400.las,14949,78400,0.1907,36432,5962,0.8594,36432,122967,0.2963,2.2369,94960,122967,0.7722,100.0,0.612581937015057,0.064976505212601,0.421536058187485,0.692767977714539
tile_282700_1551500.las,15564,78400,0.1985,39152,3480,0.9184,39152,125681,0.3115,2.0511,110973,125681,0.883,100.0,0.654187069535255,0.042421936693752,0.511952936649323,0.711496114730835
tile_282700_1551600.las,23437,78400,0.2989,61343,7003,0.8975,61343,159086,0.3856,1.8334,118698,159086,0.7461,100.0,0.606779609918594,0.04533697324429,0.465402722358704,0.690851867198944
tile_282700_1551700.las,23435,78400,0.2989,60926,9420,0.8661,60926,148170,0.4112,1.7543,95403,148170,0.6439,100.0,0.621329814195633,0.077788536851853,0.391338407993317,0.7698033452034
tile_282700_1551800.las,20317,78400,0.2591,41155,9066,0.8195,41155,99865,0.4121,1.645,61481,99865,0.6156,100.0,0.544654847085476,0.071615106798864,0.344488054513931,0.68796581029892
tile_282700_1551900.las,14357,67200,0.2136,28906,4884,0.8555,28906,108072,0.2675,2.2489,88146,108072,0.8156,100.0,0.511612756252289,0.0658354219181,0.296813637018204,0.598994076251984
tile_282800_1550000.las,10235,67200,0.1523,16173,2803,0.8523,16173,79042,0.2046,2.5334,71793,79042,0.9083,100.0,0.465038951188326,0.082251475020046,0.249959036707878,0.621040105819702
tile_282800_1550100.las,17664,78400,0.2253,41599,5568,0.882,41599,174974,0.2377,2.3963,154294,174974,0.8818,100.0,0.435697470605373,0.077672145321427,0.270202994346619,0.597473919391632
tile_282800_1550200.las,20260,78400,0.2584,53429,8143,0.8677,53429,180623,0.2958,2.1083,146248,180623,0.8097,100.0,0.529182529747486,0.052654746496445,0.394956052303314,0.600647389888763
tile_282800_1550300.las,24100,78400,0.3074,52858,9417,0.8488,52858,124154,0.4257,1.5601,82330,124154,0.6631,100.0,0.530865220725536,0.026439353571455,0.421607136726379,0.574496626853943
tile_282800_1550400.las,20485,78400,0.2613,47133,6321,0.8817,47133,139371,0.3382,1.9222,109524,139371,0.7858,100.0,0.526066216826439,0.038423672942789,0.439114034175873,0.614702582359314
tile_282800_1550500.las,15527,78400,0.198,36517,4755,0.8848,36517,179199,0.2038,2.5839,157822,179199,0.8807,100.0,0.567859398722649,0.06792564476672,0.360077351331711,0.691305041313171
tile_282800_1550600.las,11501,78400,0.1467,23561,3228,0.8795,23561,149609,0.1575,2.8641,138987,149609,0.929,100.0,0.6273645144701,0.046205333656306,0.527060329914093,0.75902658700943
tile_282800_1550700.las,10374,78400,0.1323,16861,2618,0.8656,16861,85923,0.1962,2.5982,77959,85923,0.9073,100.0,0.570903686285019,0.08275615974951,0.331503301858902,0.743119359016418
tile_282800_1550800.las,11490,78400,0.1466,24764,4351,0.8506,24764,121563,0.2037,2.7152,101742,121563,0.8369,100.0,0.632615078687668,0.044227097266194,0.522284507751465,0.698240995407104
tile_282800_1550900.las,18415,78400,0.2349,45635,7488,0.859,45635,170431,0.2678,2.44,130920,170431,0.7682,100.0,0.572225892543793,0.038159429377043,0.436872094869614,0.636503040790558
tile_282800_1551000.las,16983,78400,0.2166,39176,6021,0.8668,39176,152340,0.2572,2.3909,124898,152340,0.8199,100.0,0.538788495659828,0.055321842273488,0.418418616056442,0.638754487037659
tile_282800_1551100.las,18702,78400,0.2385,37787,8436,0.8175,37787,104879,0.3603,2.1795,61264,104879,0.5841,100.0,0.475644880086184,0.116532789924652,0.207501947879791,0.601179540157318
tile_282800_1551200.las,24621,78400,0.314,70125,12666,0.847,70125,146446,0.4788,1.7036,59863,146446,0.4088,100.0,0.464132595360279,0.101863404556208,0.271538108587265,0.680245161056519
tile_282800_1551300.las,25683,78400,0.3276,70412,11459,0.86,70412,165814,0.4246,1.7014,96787,165814,0.5837,100.0,0.599709281921387,0.052126024967756,0.365732908248901,0.673642039299011
tile_282800_1551400.las,16211,78400,0.2068,38049,6540,0.8533,38049,138018,0.2757,2.2701,109469,138018,0.7932,100.0,0.663110183477402,0.050080852194611,0.54613584280014,0.728717029094696
tile_282800_1551500.las,13947,78400,0.1779,31381,5074,0.8608,31381,105169,0.2984,2.1517,83809,105169,0.7969,100.0,0.707637479901314,0.04467861885755,0.544321775436401,0.760839700698853
tile_282800_1551600.las,18361,78400,0.2342,44490,4730,0.9039,44490,152558,0.2916,2.1483,131026,152558,0.8589,100.0,0.649790377020836,0.044155902500997,0.531860709190369,0.761499404907227
tile_282800_1551700.las,22811,78400,0.291,57074,5322,0.9147,57074,154688,0.369,1.8461,130237,154688,0.8419,100.0,0.704027497768402,0.052648058616532,0.525919258594513,0.780116081237793
tile_282800_1551800.las,20739,78400,0.2645,45681,6870,0.8693,45681,125421,0.3642,1.832,96347,125421,0.7682,100.0,0.585159469246864,0.06960887487241,0.353125959634781,0.684948027133942
tile_282800_1551900.las,14587,67200,0.2171,29630,4601,0.8656,29630,95320,0.3108,2.0731,75956,95320,0.7969,100.0,0.544731556773186,0.04053026080993,0.448934555053711,0.612522065639496
tile_282900_1550000.las,9906,67200,0.1474,15472,2443,0.8636,15472,66803,0.2316,2.3681,59388,66803,0.889,100.0,0.547636574804783,0.05593802541278,0.395351380109787,0.616884589195251
tile_282900_1550100.las,14223,78400,0.1814,25014,3452,0.8787,25014,135878,0.1841,2.6547,126637,135878,0.932,100.0,0.433523826897144,0.034168602067694,0.343402981758118,0.509362876415253
tile_282900_1550200.las,15406,78400,0.1965,33530,4570,0.8801,33530,169353,0.198,2.6141,154106,169353,0.91,100.0,0.50305479824543,0.057787671826976,0.36462265253067,0.591980159282684
tile_282900_1550300.las,18225,78400,0.2325,39830,6016,0.8688,39830,133220,0.299,2.1393,108320,133220,0.8131,100.0,0.455882761180401,0.049164115570861,0.361642360687256,0.573650658130646
tile_282900_1550400.las,18075,78400,0.2305,36758,5681,0.8661,36758,117841,0.3119,2.0004,95667,117841,0.8118,100.0,0.527112541496754,0.048361102266741,0.36130091547966,0.621029019355774
tile_282900_1550500.las,19237,78400,0.2454,50426,4909,0.9113,50426,169254,0.2979,2.0666,145730,169254,0.861,100.0,0.597792109251022,0.066009890025354,0.448300272226334,0.727865517139435
tile_282900_1550600.las,21050,78400,0.2685,55910,4845,0.9203,55910,184016,0.3038,2.0627,158838,184016,0.8632,100.0,0.703381454944611,0.019882069041366,0.636702597141266,0.751165390014648
tile_282900_1550700.las,11538,78400,0.1472,20771,2838,0.8798,20771,111820,0.1858,2.5868,103676,111820,0.9272,100.0,0.65241935133934,0.049047430801197,0.532421231269836,0.754734337329865
tile_282900_1550800.las,14446,78400,0.1843,29885,5201,0.8518,29885,92928,0.3216,2.1121,67977,92928,0.7315,100.0,0.623311274051666,0.039124762869363,0.500499904155731,0.675666391849518
tile_282900_1550900.las,15035,78400,0.1918,36652,5448,0.8706,36652,154407,0.2374,2.5551,126601,154407,0.8199,100.0,0.605187956094742,0.034376463984816,0.486084938049316,0.672872602939606
tile_282900_1551000.las,12131,78400,0.1547,26957,5610,0.8277,26957,166173,0.1622,2.9533,145287,166173,0.8743,100.0,0.601277947723866,0.063464441815425,0.462461829185486,0.695913732051849
tile_282900_1551100.las,16191,78400,0.2065,34424,5998,0.8516,34424,119671,0.2877,2.1845,95932,119671,0.8016,100.0,0.601134916543961,0.044542214834302,0.480714976787567,0.674084365367889
tile_282900_1551200.las,14433,78400,0.1841,29919,6012,0.8327,29919,121281,0.2467,2.4464,96077,121281,0.7922,100.0,0.592279053628445,0.055256001138807,0.406517565250397,0.68545138835907
tile_282900_1551300.las,16610,78400,0.2119,38452,5313,0.8786,38452,160790,0.2391,2.3828,138205,160790,0.8595,100.0,0.66185719192028,0.031327379748181,0.590844213962555,0.722667992115021
tile_282900_1551400.las,23695,78400,0.3022,61607,8855,0.8743,61607,155254,0.3968,1.7561,108264,155254,0.6973,100.0,0.722434514760971,0.026416029976487,0.650965929031372,0.773742914199829
tile_282900_1551500.las,20978,78400,0.2676,51128,9080,0.8492,51128,110190,0.464,1.4887,64189,110190,0.5825,100.0,0.726515082120895,0.033142350834968,0.603498876094818,0.777189135551453
tile_282900_1551600.las,22451,78400,0.2864,61197,7466,0.8913,61197,141881,0.4313,1.6538,99586,141881,0.7019,100.0,0.679427575469017,0.039242051691926,0.562053799629211,0.750665724277496
tile_282900_1551700.las,24847,78400,0.3169,66329,7127,0.903,66329,162197,0.4089,1.7666,119342,162197,0.7358,100.0,0.698338521122932,0.05173545956867,0.501196444034576,0.770378053188324
tile_282900_1551800.las,20505,78400,0.2615,51521,5092,0.9101,51521,150658,0.342,1.9708,123122,150658,0.8172,100.0,0.611277713775635,0.046181290858095,0.442626923322678,0.671546280384064
tile_282900_1551900.las,14722,67200,0.2191,29376,5535,0.8415,29376,89472,0.3283,1.9868,67665,89472,0.7563,100.0,0.543437290489674,0.055704685046511,0.402998149394989,0.644300520420074
tile_283000_1550000.las,13654,67200,0.2032,30548,4599,0.8691,30548,78675,0.3883,1.9193,50783,78675,0.6455,100.0,0.553454339504242,0.049724566225686,0.45354837179184,0.630935788154602
tile_283000_1550100.las,11027,78400,0.1407,21273,2701,0.8873,21273,115417,0.1843,2.6428,105817,115417,0.9168,100.0,0.547766177654266,0.045459747923515,0.426728874444962,0.621209561824799
tile_283000_1550200.las,12634,78400,0.1611,25518,3654,0.8747,25518,148253,0.1721,2.7557,135503,148253,0.914,100.0,0.549628986120224,0.036368178031251,0.471118271350861,0.622138917446136
tile_283000_1550300.las,11423,78400,0.1457,24166,3528,0.8726,24166,154585,0.1563,2.8669,142978,154585,0.9249,100.0,0.501699998676777,0.070171012346461,0.312015801668167,0.593283414840698
tile_283000_1550400.las,16842,78400,0.2148,33549,5025,0.8697,33549,125636,0.267,2.2192,109811,125636,0.874,100.0,0.459039368033409,0.073830176762327,0.285125702619553,0.611327826976776
tile_283000_1550500.las,21230,78400,0.2708,53392,4758,0.9182,53392,154708,0.3451,1.8766,135206,154708,0.8739,100.0,0.634631853103638,0.084723590750272,0.442053020000458,0.739448368549347
tile_283000_1550600.las,20080,78400,0.2561,54491,3931,0.9327,54491,194282,0.2805,2.1183,176349,194282,0.9077,100.0,0.714867634773254,0.012623012214782,0.68310135602951,0.743798792362213
tile_283000_1550700.las,11721,78400,0.1495,24943,2843,0.8977,24943,139686,0.1786,2.6203,131420,139686,0.9408,100.0,0.683618814945221,0.044566811012626,0.573872745037079,0.755022585391998
tile_283000_1550800.las,11227,78400,0.1432,18212,3604,0.8348,18212,82400,0.221,2.457,72035,82400,0.8742,100.0,0.633832515478134,0.03223820098339,0.530704379081726,0.725471258163452
tile_283000_1550900.las,14351,78400,0.183,32910,6439,0.8364,32910,130218,0.2527,2.4418,102976,130218,0.7908,100.0,0.621620576381683,0.044239290540396,0.520803868770599,0.684657216072083
tile_283000_1551000.las,20426,78400,0.2605,55218,9896,0.848,55218,163771,0.3372,2.217,104243,163771,0.6365,100.0,0.615477761626244,0.036648391219931,0.476970016956329,0.682341337203979
tile_283000_1551100.las,20451,78400,0.2609,56304,6813,0.8921,56304,138805,0.4056,1.8126,96929,138805,0.6983,100.0,0.578558319807053,0.061562029688912,0.451280206441879,0.670405328273773
tile_283000_1551200.las,11612,78400,0.1481,19961,3476,0.8517,19961,107096,0.1864,2.6932,96187,107096,0.8981,100.0,0.655164769291878,0.038346946770442,0.512632250785828,0.713831067085266
tile_283000_1551300.las,15189,78400,0.1937,35139,4095,0.8956,35139,152506,0.2304,2.4123,135641,152506,0.8894,100.0,0.653029020428658,0.043825934630326,0.56412136554718,0.74439948797226
tile_283000_1551400.las,27140,78400,0.3462,69627,9652,0.8783,69627,150124,0.4638,1.5506,92127,150124,0.6137,100.0,0.660244266986847,0.083729304206815,0.339941889047623,0.765310227870941
tile_283000_1551500.las,25452,78400,0.3246,64124,8711,0.8804,64124,128523,0.4989,1.3716,79216,128523,0.6164,100.0,0.684835045337677,0.0502753782197,0.503817081451416,0.767045855522156
tile_283000_1551600.las,24963,78400,0.3184,60767,9334,0.8668,60767,118576,0.5125,1.3134,68389,118576,0.5768,100.0,0.610892353653908,0.094544537569666,0.393569797277451,0.749085366725922
tile_283000_1551700.las,24646,78400,0.3144,70381,9129,0.8852,70381,164077,0.429,1.6906,107228,164077,0.6535,100.0,0.62852461129427,0.07918811396129,0.378700435161591,0.753701329231262
tile_283000_1551800.las,23405,78400,0.2985,62638,8276,0.8833,62638,157953,0.3966,1.8203,108687,157953,0.6881,100.0,0.592288482785225,0.061933426041746,0.388357847929001,0.703869462013245
tile_283000_1551900.las,17840,67200,0.2655,42436,8486,0.8334,42436,105773,0.4012,1.776,64863,105773,0.6132,100.0,0.568410480320454,0.059603217644514,0.36881685256958,0.643759965896606
tile_283100_1550000.las,10883,67200,0.1619,23446,5012,0.8239,23446,48065,0.4878,1.5942,19827,48065,0.4125,100.0,0.263928125174716,0.23279053046244,0.009544908069074,0.617791354656219
tile_283100_1550100.las,13511,78400,0.1723,23860,4912,0.8293,23860,88690,0.269,2.5049,63731,88690,0.7186,100.0,0.388655872158706,0.214169246864536,0.036237262189388,0.612791955471039
tile_283100_1550200.las,11916,78400,0.152,25833,4217,0.8597,25833,151944,0.17,2.9331,131707,151944,0.8668,100.0,0.585004211068153,0.03361748714756,0.42413204908371,0.625495612621307
tile_283100_1550300.las,11445,78400,0.146,27767,4389,0.8635,27767,159548,0.174,2.9034,136986,159548,0.8586,100.0,0.573343959450722,0.021876599355305,0.52160507440567,0.636134803295135
tile_283100_1550400.las,11360,78400,0.1449,22997,3285,0.875,22997,137071,0.1678,2.7512,126750,137071,0.9247,100.0,0.559446755647659,0.0619248098166,0.424012422561646,0.677922666072845
tile_283100_1550500.las,18913,78400,0.2412,40425,4859,0.8927,40425,121930,0.3315,1.9516,105417,121930,0.8646,100.0,0.518578671514988,0.094940060211892,0.344030380249023,0.698035478591919
tile_283100_1550600.las,19840,78400,0.2531,52285,3964,0.9295,52285,169453,0.3086,2.0221,152944,169453,0.9026,100.0,0.664681485295296,0.04033143723703,0.589241623878479,0.722981214523315
tile_283100_1550700.las,12418,78400,0.1584,29233,3130,0.9033,29233,154941,0.1887,2.5909,144667,154941,0.9337,100.0,0.661880176067352,0.059750585825544,0.523355901241302,0.774428904056549
tile_283100_1550800.las,9194,78400,0.1173,15778,2869,0.8461,15778,89438,0.1764,2.7092,82434,89438,0.9217,100.0,0.616771631240845,0.053179583179563,0.5226229429245,0.74610036611557
tile_283100_1550900.las,13416,78400,0.1711,29742,4723,0.863,29742,106436,0.2794,2.2429,86306,106436,0.8109,100.0,0.644821267127991,0.034485566235417,0.518934965133667,0.724054932594299
tile_283100_1551000.las,23695,78400,0.3022,64186,8298,0.8855,64186,164854,0.3894,1.869,109434,164854,0.6638,100.0,0.601416156291962,0.038298700099508,0.4440977871418,0.65934807062149
tile_283100_1551100.las,17983,78400,0.2294,46453,5870,0.8878,46453,159854,0.2906,2.306,124017,159854,0.7758,100.0,0.602398456037045,0.062869661760946,0.386240005493164,0.731467962265015
tile_283100_1551200.las,9676,78400,0.1234,17143,3778,0.8194,17143,108089,0.1586,2.9439,96029,108089,0.8884,100.0,0.652195596694946,0.033627465809073,0.541434347629547,0.74035120010376
tile_283100_1551300.las,21488,78400,0.2741,51089,6863,0.8816,51089,135306,0.3776,1.8236,101259,135306,0.7484,100.0,0.607628040313721,0.034969502514695,0.539471924304962,0.676084876060486
tile_283100_1551400.las,26254,78400,0.3349,66492,8001,0.8926,66492,157519,0.4221,1.659,111453,157519,0.7076,100.0,0.582582910060883,0.078216914928415,0.342202812433243,0.729579329490662
tile_283100_1551500.las,27550,78400,0.3514,72259,7721,0.9035,72259,148897,0.4853,1.445,103471,148897,0.6949,100.0,0.695040372014046,0.047900534083167,0.579813599586487,0.763552367687225
tile_283100_1551600.las,22934,78400,0.2925,48453,8091,0.8569,48453,99617,0.4864,1.4359,56383,99617,0.566,100.0,0.622523796260357,0.078372122677581,0.403257220983505,0.748729944229126
tile_283100_1551700.las,27311,78400,0.3484,76242,8624,0.8984,76242,141456,0.539,1.3611,75090,141456,0.5308,100.0,0.510304076522589,0.168478094146751,0.165945068001747,0.749086201190948
tile_283100_1551800.las,28304,78400,0.361,75942,9588,0.8879,75942,151927,0.4999,1.4743,85855,151927,0.5651,100.0,0.564005821943283,0.052191970976031,0.270649522542953,0.634938597679138
tile_283100_1551900.las,26361,67200,0.3923,72149,8568,0.8939,72149,123021,0.5865,1.2115,59676,123021,0.4851,100.0,0.457951356619596,0.123255568180516,0.212676420807838,0.678177237510681
tile_283200_1550000.las,1543,27300,0.0565,1870,1419,0.5686,1870,4311,0.4338,0.0,68,4311,0.0158,100.0,-0.000580295050022,0.019215433813226,-0.032676085829735,0.035249400883913
tile_283200_1550100.las,11183,78400,0.1426,15273,5551,0.7334,15273,31807,0.4802,2.1946,5499,31807,0.1729,100.0,0.032680076688994,0.022719432571182,-0.032070681452751,0.147029727697372
tile_283200_1550200.las,13684,78400,0.1745,27914,5905,0.8254,27914,91362,0.3055,2.3308,60386,91362,0.661,100.0,0.365375623963773,0.238886047227009,0.035504970699549,0.682727038860321
tile_283200_1550300.las,13394,78400,0.1708,32842,5274,0.8616,32842,146029,0.2249,2.6168,116666,146029,0.7989,100.0,0.613709713220596,0.056470916254579,0.505596220493317,0.714236438274384
tile_283200_1550400.las,8777,78400,0.112,19676,3031,0.8665,19676,139253,0.1413,3.0054,127298,139253,0.9141,100.0,0.693788574934006,0.028277108356565,0.626051247119904,0.746767401695251
tile_283200_1550500.las,11624,78400,0.1483,19011,3924,0.8289,19011,97948,0.1941,2.5963,87796,97948,0.8964,100.0,0.533680183589458,0.121023236544326,0.369248420000076,0.757252514362335
tile_283200_1550600.las,15613,78400,0.1991,34047,5355,0.8641,34047,151901,0.2241,2.457,134281,151901,0.884,100.0,0.52881459325552,0.083638007078252,0.366551578044891,0.656613290309906
tile_283200_1550700.las,13017,78400,0.166,30914,4325,0.8773,30914,185996,0.1662,2.7993,171655,185996,0.9229,100.0,0.563933202028275,0.044323095950121,0.464778959751129,0.634648621082306
tile_283200_1550800.las,11669,78400,0.1488,23631,4848,0.8298,23631,124951,0.1891,2.6916,107270,124951,0.8585,100.0,0.567908484935761,0.048614987746849,0.389944314956665,0.627162933349609
tile_283200_1550900.las,14030,78400,0.179,24751,5886,0.8079,24751,89524,0.2765,2.2795,63966,89524,0.7145,100.0,0.579236322045326,0.072186390875224,0.413243800401688,0.704117238521576
tile_283200_1551000.las,20596,78400,0.2627,54721,7270,0.8827,54721,150476,0.3637,1.989,102295,150476,0.6798,100.0,0.552106631100178,0.049685170414135,0.415471196174622,0.640273332595825
tile_283200_1551100.las,18645,78400,0.2378,45635,5005,0.9012,45635,171483,0.2661,2.2793,143930,171483,0.8393,100.0,0.618691284954548,0.048786702427107,0.388347625732422,0.715913653373718
tile_283200_1551200.las,16012,78400,0.2042,33260,4785,0.8742,33260,129685,0.2565,2.2749,110508,129685,0.8521,100.0,0.633815823197365,0.040481778739217,0.542579054832458,0.71700131893158
tile_283200_1551300.las,20721,78400,0.2643,42699,5218,0.8911,42699,112929,0.3781,1.7945,89543,112929,0.7929,100.0,0.602620836496353,0.03776030127974,0.516151130199432,0.682538270950317
tile_283200_1551400.las,20426,78400,0.2605,48539,5915,0.8914,48539,156808,0.3095,2.0625,127630,156808,0.8139,100.0,0.602721347808838,0.049147919460007,0.493222951889038,0.70476633310318
tile_283200_1551500.las,30346,78400,0.3871,82754,9434,0.8977,82754,156386,0.5292,1.3609,94981,156386,0.6073,100.0,0.609468495547771,0.073233076074802,0.437267124652863,0.730740487575531
tile_283200_1551600.las,25423,78400,0.3243,64374,9322,0.8735,64374,118355,0.5439,1.3503,59253,118355,0.5006,100.0,0.529456733465195,0.086357684381593,0.382656902074814,0.685719847679138
tile_283200_1551700.las,26889,78400,0.343,69286,10330,0.8703,69286,117426,0.59,1.2035,44282,117426,0.3771,100.0,0.500025671720505,0.151987450198831,0.153403595089912,0.704675018787384
tile_283200_1551800.las,30245,78400,0.3858,87854,11443,0.8848,87854,161541,0.5438,1.3869,75192,161541,0.4655,100.0,0.544852579534054,0.055378732494734,0.3375383913517,0.675766110420227
tile_283200_1551900.las,26230,67200,0.3903,76665,10249,0.8821,76665,141451,0.542,1.4415,65973,141451,0.4664,100.0,0.509670686125755,0.094059173532915,0.292070746421814,0.682140171527863
tile_283300_1550000.las,58,14994,0.0039,63,307,0.1703,63,424,0.1486,0.0,1,424,0.0024,100.0,-0.013733604964582,0.012690968232418,-0.051098458468914,0.01928180269897
tile_283300_1550100.las,7749,53340,0.1453,10251,4236,0.7076,10251,18746,0.5468,0.003,476,18746,0.0254,100.0,-0.021299706842692,0.02027313919124,-0.06225473433733,0.039001975208521
tile_283300_1550200.las,11142,78400,0.1421,15988,5903,0.7303,15988,35733,0.4474,2.2917,8588,35733,0.2403,100.0,0.009528332153568,0.070192730504599,-0.046275474131107,0.497540056705475
tile_283300_1550300.las,5491,78400,0.07,11583,2990,0.7948,11583,74151,0.1562,3.0268,63424,74151,0.8553,100.0,0.399294859683141,0.288957036582274,-0.005980363115668,0.747132182121277
tile_283300_1550400.las,8509,78400,0.1085,20289,2473,0.8914,20289,138473,0.1465,2.9709,126898,138473,0.9164,100.0,0.694050076007843,0.048756278517019,0.329719603061676,0.750313580036163
tile_283300_1550500.las,7163,78400,0.0914,12373,2217,0.848,12373,116402,0.1063,3.2287,110759,116402,0.9515,100.0,0.686742718219757,0.051408810125196,0.541071474552155,0.758305966854095
tile_283300_1550600.las,15818,78400,0.2018,31190,5655,0.8465,31190,124566,0.2504,2.3748,106064,124566,0.8515,100.0,0.474876041710377,0.057725026725898,0.377362459897995,0.620931029319763
tile_283300_1550700.las,15315,78400,0.1953,37264,5442,0.8726,37264,174703,0.2133,2.5198,153378,174703,0.8779,100.0,0.593634760677815,0.03673106220472,0.49076846241951,0.661911606788635
tile_283300_1550800.las,14872,78400,0.1897,33537,5926,0.8498,33537,148737,0.2255,2.4831,122392,148737,0.8229,100.0,0.501010345816612,0.042804052019834,0.375909268856049,0.633787453174591
tile_283300_1550900.las,14031,78400,0.179,24248,5792,0.8072,24248,90258,0.2687,2.2932,67382,90258,0.7465,100.0,0.528857793211937,0.036356642895134,0.438661754131317,0.600186765193939
tile_283300_1551000.las,17032,78400,0.2172,40581,6919,0.8543,40581,127689,0.3178,2.1673,89974,127689,0.7046,100.0,0.559390578269959,0.032741570607232,0.458741366863251,0.614227056503296
tile_283300_1551100.las,23812,78400,0.3037,66486,9291,0.8774,66486,168764,0.394,1.8179,107739,168764,0.6384,100.0,0.565190831124783,0.045147891401155,0.430271238088608,0.629462361335754
tile_283300_1551200.las,21942,78400,0.2799,54409,6515,0.8931,54409,144923,0.3754,1.8445,110295,144923,0.7611,100.0,0.603524585962296,0.037444211684365,0.500774562358856,0.666061818599701
tile_283300_1551300.las,17701,78400,0.2258,35204,4527,0.8861,35204,100745,0.3494,1.8823,81666,100745,0.8106,100.0,0.630889500379562,0.032704280924639,0.550379693508148,0.701344966888428
tile_283300_1551400.las,17730,78400,0.2261,42727,5140,0.8926,42727,145264,0.2941,2.1328,119989,145264,0.826,100.0,0.660788632035255,0.034058954302123,0.562000751495361,0.723507702350616
tile_283300_1551500.las,23035,78400,0.2938,61344,8027,0.8843,61344,162133,0.3784,1.9169,112515,162133,0.694,100.0,0.668644063472748,0.034651044485377,0.583890080451965,0.722268760204315
tile_283300_1551600.las,22923,78400,0.2924,58149,11002,0.8409,58149,140452,0.414,1.7915,81467,140452,0.58,100.0,0.639207398295403,0.031734438913738,0.552900910377502,0.705630540847778
tile_283300_1551700.las,20571,78400,0.2624,40294,10736,0.7896,40294,90654,0.4445,1.6251,41038,90654,0.4527,100.0,0.548026772141457,0.090556823135743,0.397159188985825,0.701152265071869
