tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282100_1551100.las,21287,78400,0.2715,58196,7428,0.8868,58196,158766,0.3666,1.8728,115094,158766,0.7249,100.0,0.618560062050819,0.033992328262987,0.558481097221375,0.722969651222229
tile_282100_1551200.las,13535,78400,0.1726,23216,3803,0.8592,23216,95693,0.2426,2.2975,84625,95693,0.8843,100.0,0.632014074921608,0.035330033226461,0.553383767604828,0.691227734088898
tile_282100_1551300.las,14721,78400,0.1878,29687,3347,0.8987,29687,136621,0.2173,2.4182,126596,136621,0.9266,100.0,0.624676312208176,0.029253261063843,0.525749385356903,0.675116777420044
tile_282100_1551400.las,18240,78400,0.2327,44512,4187,0.914,44512,183605,0.2424,2.3269,167218,183605,0.9107,100.0,0.653486474752426,0.051521665475482,0.498975038528442,0.712938249111176
tile_282100_1551500.las,11808,78400,0.1506,26995,3459,0.8864,26995,151470,0.1782,2.7175,139168,151470,0.9188,100.0,0.721192669868469,0.024368210059363,0.661507964134216,0.768828928470612
tile_282100_1551600.las,15604,78400,0.199,32070,6493,0.8316,32070,104793,0.306,2.214,72740,104793,0.6941,100.0,0.687546826303005,0.084367225872235,0.471918076276779,0.786524832248688
tile_282100_1551700.las,18293,78400,0.2333,49356,7195,0.8728,49356,152404,0.3238,2.1123,108299,152404,0.7106,100.0,0.646041219830513,0.082566708204702,0.423605769872665,0.752928614616394
tile_282100_1551800.las,12965,78400,0.1654,30904,3164,0.9071,30904,183903,0.168,2.7392,172766,183903,0.9394,100.0,0.619456684589386,0.05413205457259,0.476459711790085,0.703651785850525
tile_282100_1551900.las,12448,67200,0.1852,24995,3068,0.8907,24995,120243,0.2079,2.5063,110942,120243,0.9226,100.0,0.573084385991096,0.041270660771731,0.477873027324677,0.646973073482513
tile_282200_1550000.las,18408,67200,0.2739,55862,12707,0.8147,55862,133833,0.4174,1.7366,66443,133833,0.4965,100.0,0.419498901069164,0.104416514426898,0.266131967306137,0.605981469154358
tile_282200_1550100.las,17990,78400,0.2295,37253,10442,0.7811,37253,109313,0.3408,1.9214,64460,109313,0.5897,100.0,0.4568536901474,0.06577718622953,0.303672730922699,0.574023962020874
tile_282200_1550200.las,24359,78400,0.3107,70707,13341,0.8413,70707,165137,0.4282,1.6573,84259,165137,0.5102,100.0,0.41995353192091,0.056027665984225,0.322819381952286,0.529624700546265
tile_282200_1550300.las,22711,78400,0.2897,64523,10603,0.8589,64523,180094,0.3583,1.9425,119355,180094,0.6627,100.0,0.411899897754192,0.041316297440827,0.315849214792252,0.494112342596054
tile_282200_1550400.las,16448,78400,0.2098,34291,7068,0.8291,34291,131536,0.2607,2.3111,98635,131536,0.7499,100.0,0.453650804460049,0.076050857030858,0.273966997861862,0.606209337711334
tile_282200_1550500.las,21290,78400,0.2716,46692,12557,0.7881,46692,93000,0.5021,0.9999,19392,93000,0.2085,100.0,0.373584585189819,0.065811541273518,0.269772946834564,0.546879470348358
tile_282200_1550600.las,30618,78400,0.3905,98073,11911,0.8917,98073,161683,0.6066,0.9874,66141,161683,0.4091,100.0,0.488359242379665,0.066833760620788,0.304438531398773,0.591942608356476
tile_282200_1550700.las,31226,78400,0.3983,98292,12114,0.8903,98292,177384,0.5541,1.2439,80202,177384,0.4521,100.0,0.485053112208843,0.076195796999805,0.302183896303177,0.601590991020203
tile_282200_1550800.las,24212,78400,0.3088,60209,9112,0.8686,60209,143690,0.419,1.707,88503,143690,0.6159,100.0,0.548431725800037,0.049865365150919,0.39313530921936,0.614947557449341
tile_282200_1550900.las,21618,78400,0.2757,44255,7066,0.8623,44255,107328,0.4123,1.6944,74081,107328,0.6902,100.0,0.573808175325394,0.040964269962326,0.472049325704575,0.650546073913574
tile_282200_1551000.las,24538,78400,0.313,63440,6512,0.9069,63440,160645,0.3949,1.7318,127793,160645,0.7955,100.0,0.637501757144928,0.040929201732493,0.564193308353424,0.725949168205261
tile_282200_1551100.las,24216,78400,0.3089,68876,5703,0.9235,68876,178599,0.3856,1.7682,145369,178599,0.8139,100.0,0.702577468156815,0.044018827191555,0.600136876106262,0.784999430179596
tile_282200_1551200.las,18189,78400,0.232,41000,4352,0.904,41000,123119,0.333,1.9198,106429,123119,0.8644,100.0,0.710548363924027,0.027602111960978,0.661738634109497,0.783387959003448
tile_282200_1551300.las,17268,78400,0.2203,33615,5748,0.854,33615,108263,0.3105,2.0388,86495,108263,0.7989,100.0,0.712976716160774,0.027598180531769,0.657691299915314,0.776452124118805
